Unnamed: 0,userName,Title,Review,Rating,cleaned_Review,Have assessablity Issue,Assessability Issue Type
,ìƒˆíŒŒëž—ê²Œ,Can't use the app,The app keeps saying that I've rooted/jailbroke my phone then crashes. I'm using iPhone 15 pro max with iOS 17.2.1 stock. I haven't been able to check messages for a month and have lost access to all of my old messages from years ago. Please fix this.,1,the app keep saying that ive rootedjailbroke my phone then crash im using iphone pro max with io stock i havent been able to check message for a month and have lost access to all of my old message from year ago please fix this,Yes,UI Accessibility Issues (UI)
,@Knotsu,â•,"the app doesnâ€™t have a solid way to get rid of malicious comments/users. instead of banning curse words from being used, why doesnâ€™t the LYSN team ban accounts that violate their rules? allowing your platform to have these people send hate to artists is disgusting.",1,the app doesn t have a solid way to get rid of malicious commentsusers instead of banning curse word from being used why doesn t the lysn team ban account that violate their rule allowing your platform to have these people send hate to artist is disgusting,Yes,UI Accessibility Issues (UI)
,nasra M,HARASSMENT,There needs to be some type of filter because people are sending death threats to idols and there is nothing being done about it. Since this app claimed to not allow bullying maybe you should do something about it.. No hate.,1,there need to be some type of filter because people are sending death threat to idol and there is nothing being done about it since this app claimed to not allow bullying maybe you should do something about it no hate,Yes,UI Accessibility Issues (UI)
,i want my giftcard,Doesnâ€™t take action against bullying,"The EXO Community board has been flooded with malicious comments targeting just one person - Chen- since January 13th. But Lysn has not done ANYTHING in response to this bullying, did not even remove hateful posts or suspend hateful users. This app is useless and irresponsible.",1,the exo community board ha been flooded with malicious comment targeting just one person chen since january th but lysn ha not done anything in response to this bullying did not even remove hateful post or suspend hateful user this app is useless and irresponsible,Yes,Input and Control Issues (INPUT)
,xx20190503,Please allow to send more characters,"I understand the 30 characters limit might make sense for korean or chinese, but 30 characters for English too ???? Like how can I possibly say anything with in 30 characters in English :) IMPROVE PLEASE.",1,i understand the character limit might make sense for korean or chinese but character for english too like how can i possibly say anything with in character in english improve please,Yes,UI Accessibility Issues (UI)
,Louloubirdie,App stopped working,It wonâ€™t even let me get into it anymore and e re downloaded and restarted my phone and it still wonâ€™t let me on.,1,it won t even let me get into it anymore and e re downloaded and restarted my phone and it still won t let me on,Yes,UI Accessibility Issues (UI)
,Fan of Nct 127,Works very slowly,It doesnâ€™t work instantly and always gets hang. I have to shut down and open it many times why it does like that *FIX IT* ðŸ˜¡ðŸ˜¡ðŸ˜¡,1,it doesn t work instantly and always get hang i have to shut down and open it many time why it doe like that fix it,Yes,UI Accessibility Issues (UI)
,ncttrain,pls help,I want to get notifs from the app but iâ€™ve tried everything and itâ€™s still not working,1,i want to get notifs from the app but i ve tried everything and it s still not working,Yes,UI Accessibility Issues (UI)
,Dirowe2021,They donâ€™t care about english speakers,Not enough characters for english speakers. My first sentence in this review is probably close to rhe limit. Not fair to englsih speakers.,1,not enough character for english speaker my first sentence in this review is probably close to rhe limit not fair to englsih speaker,Yes,UI Accessibility Issues (UI)
,Ong.samp,Monitor comments section!,So many artists are suffering because of negative comments. Lysn doesnt monitor it!!!!!!! This app is too toxic for artists. Consider their mental being too!,1,so many artist are suffering because of negative comment lysn doesnt monitor it this app is too toxic for artist consider their mental being too,Yes,UI Accessibility Issues (UI)
,Wong Aster,They deleted all of my anni days 150 to 1ðŸ¥²so disappointed,How could you deleted all of my anni days into 1.This is so not fair .What a capitalism ðŸ˜ƒðŸ™‚,1,how could you deleted all of my anni day into this is so not fair what a capitalism,Yes,UI Accessibility Issues (UI)
,Happy~Starfish,"Cute, but certain things REALLY ruin it.","It is a very cute, fun app. I downloaded it when it came out as an EXO-L and haven't used it that much until recently. There are many features and nice things about it, like sharing your love for your favorite artist with other fans, and a translate button to communicate with and understand fans who speak different languages. I am liking it, but there are a couple things about it that really bother me and make what could be a good experience not so great.
 
 -One thing that bothers me is whenever I am making a new post, I cannot see what I am typing. The space between ""Please Enter Title"" and the keyboard is extremely little, making it so that I can barely see what I am saying, and every time I type that text moves up and down making it even more difficult.
 
 -Another thing I dislike is that most if not all the time get notifications about 20-30 minutes late. The point of notifications is to know what is happening and to keep up to date, when you get them late that defeats the purpose.
 
 -The thing that bothers me the most however is the paid fan-club known as ACE. Not only you have to pay money (about $30 initially then about $13 to renew) to access content and chat with the artist, I have also noticed that some fans use this as a superiority complex to bully other fans who they disagree with who are not ACE. This leads into my next point that,
 
 -Because of the division between ACE and basic, it hasn't felt like a very safe space for everyone. While there are still some nice posts, it feels divided and not as positive and united as it could be because of the lack of monitoring and action taken against the people bullying other fans and the artist. Recently EXO member Chen announced that he is getting married and having a child and on the app, the same ACE fans are repeatedly asking him to leave the group and making other malicious posts, breaking the rules of the community guidelines, yet no action is taken against them.
 
 -To put it short, I have not been enjoying this app as much as I could be because of the bug when typing new posts, late notifications, paying for content, and the lack of action taken against rude ACE fans who bully the artist and fans who are basic.",1,it is a very cute fun app i downloaded it when it came out a an exol and havent used it that much until recently there are many feature and nice thing about it like sharing your love for your favorite artist with other fan and a translate button to communicate with and understand fan who speak different language i am liking it but there are a couple thing about it that really bother me and make what could be a good experience not so great one thing that bother me is whenever i am making a new post i cannot see what i am typing the space between please enter title and the keyboard is extremely little making it so that i can barely see what i am saying and every time i type that text move up and down making it even more difficult another thing i dislike is that most if not all the time get notification about minute late the point of notification is to know what is happening and to keep up to date when you get them late that defeat the purpose the thing that bother me the most however is the paid fanclub known a ace not only you have to pay money about initially then about to renew to access content and chat with the artist i have also noticed that some fan use this a a superiority complex to bully other fan who they disagree with who are not ace this lead into my next point that because of the division between ace and basic it hasnt felt like a very safe space for everyone while there are still some nice post it feel divided and not a positive and united a it could be because of the lack of monitoring and action taken against the people bullying other fan and the artist recently exo member chen announced that he is getting married and having a child and on the app the same ace fan are repeatedly asking him to leave the group and making other malicious post breaking the rule of the community guideline yet no action is taken against them to put it short i have not been enjoying this app a much a i could be because of the bug when typing new post late notification paying for content and the lack of action taken against rude ace fan who bully the artist and fan who are basic,Yes,UI Accessibility Issues (UI)
,ventiddy,soobin,the translation is balls,1,the translation is ball,Yes,Compatibility with Assistive Technologies (CAT)
,sisilyfans,"Mr Lee,Take my money and be kind to my idol!","For Godâ€™s sake!This is the worst software Iâ€™ve ever used. If you buy the bubble,it means that you cannot send your idols more than three short sentences.you wanna send more?sorry,you must known what Hunger marketing is.So,Take my money and be kind to my bias !Mr Lee!",1,for god s sakethis is the worst software i ve ever used if you buy the bubbleit mean that you cannot send your idol more than three short sentencesyou wanna send moresorryyou must known what hunger marketing issotake my money and be kind to my bias mr lee,Yes,UI Accessibility Issues (UI)
,DazzlingGh0st,Wonâ€™t verify,The app wonâ€™t send me a verification code through my phone number so I canâ€™t use it,1,the app won t send me a verification code through my phone number so i can t use it,Yes,Input and Control Issues (INPUT)
,",:<",ðŸ‘Ž,I got this for SuperM but itâ€™s not sending me my code.... and when it does itâ€™s too late to put it in b/c I get timed out.,1,i got this for superm but it s not sending me my code and when it doe it s too late to put it in bc i get timed out,Yes,Input and Control Issues (INPUT)
,KaiExo88,I have not gotten a code,"I have tried so many times sending my number and emailing but I still have no code 
 
 Please help",1,i have tried so many time sending my number and emailing but i still have no code please help,Yes,Input and Control Issues (INPUT)
,ReemMin,Verification code isnâ€™t being sent,I tried many times to register but the app never sends my the verification code!!!! Please can you fix this issue?,1,i tried many time to register but the app never sends my the verification code please can you fix this issue,Yes,Input and Control Issues (INPUT)
,r u being,Codes arenâ€™t delivered worldwide,Iâ€™m from Mexico and Iâ€™ve been trying to get a code for the past few days but I just canâ€™t get a code thus I canâ€™t create an account,1,i m from mexico and i ve been trying to get a code for the past few day but i just can t get a code thus i can t create an account,Yes,Input and Control Issues (INPUT)
,Nann Thiri,verification code,please fix the issue with verification code not arriving.,1,please fix the issue with verification code not arriving,Yes,Input and Control Issues (INPUT)
,pp85886,Never receive the verification code,"Try many times, still cannot receive the code.",1,try many time still cannot receive the code,Yes,Input and Control Issues (INPUT)
,MRM3981,Verification code,"Please fix this issue, I tried so many times but I donâ€™t receive any codes",1,please fix this issue i tried so many time but i don t receive any code,Yes,Input and Control Issues (INPUT)
,íŒŒí‹°ë§ˆ12,Verification code,I CANâ€™T GET VERIFICATION CODE FROM LYSN.. i tried so many times ã… ã… ã…,1,i can t get verification code from lysn i tried so many time,Yes,Input and Control Issues (INPUT)
,iAlMarri7,Donâ€™t receive the code:),When I register my number I donâ€™t receive a code:) Iâ€™ve tried so many times:) please fix it,1,when i register my number i don t receive a code i ve tried so many time please fix it,Yes,Input and Control Issues (INPUT)
,Caseseyo,Isnâ€™t it a bit inconsiderate?,"Well you know, you have English speaking fans of idols too, not just KOR / CHN / JPN. Which means 30 characters doesnâ€™t do sh... for us anglophones. Itâ€™s bad enough that any of us can only send 3 messages no matter how long itâ€™s been since the idol texted, but the fact that you havenâ€™t adapted the character limit to account for the fact that 30 characters in an east Asian language is a LOT more than 30 characters in Roman alphabet. Take the time to do the math and increase the character limit to FAIRLY accommodate foreigners by making romanized limit proportionate to what it is for Kfans. Our money is precious too.",2,well you know you have english speaking fan of idol too not just kor chn jpn which mean character doesn t do sh for u anglophones it s bad enough that any of u can only send message no matter how long it s been since the idol texted but the fact that you haven t adapted the character limit to account for the fact that character in an east asian language is a lot more than character in roman alphabet take the time to do the math and increase the character limit to fairly accommodate foreigner by making romanized limit proportionate to what it is for kfans our money is precious too,Yes,UI Accessibility Issues (UI)
,ks1288,Translation error,You should upgrade your appâ€™s translation. That auto- translation is so much different from original and can have some misunderstanding between artists and fans .,2,you should upgrade your app s translation that auto translation is so much different from original and can have some misunderstanding between artist and fan,Yes,Compatibility with Assistive Technologies (CAT)
,h0h0fae,Connection issues,I'm so glad I can use this app to read text but also not respond ðŸ˜’ there's so many connection issues that it feels like an absolute waste to spend money on.,2,im so glad i can use this app to read text but also not respond there so many connection issue that it feel like an absolute waste to spend money on,Yes,UI Accessibility Issues (UI)
,AnimeHearts,Keeps freezing,"1. The app keeps freezing I canâ€™t see content!
 2. Can we please get rid of the bubble character limit or at least increase it? English requires many more characters than Korean.",2,the app keep freezing i can t see content can we please get rid of the bubble character limit or at least increase it english requires many more character than korean,Yes,UI Accessibility Issues (UI)
,JfJfJfJJJJJJJJJJJJJ,cannot log inï¼,I can download it. But I canâ€™t log in to view it! this is terrible!!! Solve it now!!!,2,i can download it but i can t log in to view it this is terrible solve it now,Yes,Input and Control Issues (INPUT)
,oceankishi,BUBBLE,"i bought doyoung, yuta, and jaemins message thing but whenever i press reply it just says preparing reply :(",2,i bought doyoung yuta and jaemins message thing but whenever i press reply it just say preparing reply,Yes,UI Accessibility Issues (UI)
,Bonita Corsha,needs a lot of work,translator horrible and it doesnt always allow me to see updates msgs as they come,2,translator horrible and it doesnt always allow me to see update msg a they come,Yes,Compatibility with Assistive Technologies (CAT)
,LadyMelinda,Needs improvement!,"I made an account with Lysn more than four months ago so I could talk to Cho KyuHyun and Lee Donghae (both are Super Junior.) I discovered that the character limit for English is a joke in the beginning, so I started translating my words into Korean before sending. I had no idea how bad the translations were until I reversed them! Then I discovered that the Lysn translator is also bad! Iâ€™ve tried to send perfectly acceptable messages, but have been told there was â€œa banned wordâ€ several times! My translator showed no such thing. No wonder I get so many messages from them that seem to be cryptic. Your translator in the app is VERY INACCURATE! Also, why is it ok for idols to bully fans? Iâ€™ve been bullied by one idol a few times just because I was trying to help him and also trying to get a response to my questions! Thatâ€™s just unacceptable, when Iâ€™m PAYING to use the app!!! Also, why is there no way to send a picture or voice message to an idol? One more thing. Iâ€™ve tried to send a message to customer service in the app and discovered that if I send it, my account will be deleted! Thatâ€™s just WRONG!! Bad app...",2,i made an account with lysn more than four month ago so i could talk to cho kyuhyun and lee donghae both are super junior i discovered that the character limit for english is a joke in the beginning so i started translating my word into korean before sending i had no idea how bad the translation were until i reversed them then i discovered that the lysn translator is also bad i ve tried to send perfectly acceptable message but have been told there wa a banned word several time my translator showed no such thing no wonder i get so many message from them that seem to be cryptic your translator in the app is very inaccurate also why is it ok for idol to bully fan i ve been bullied by one idol a few time just because i wa trying to help him and also trying to get a response to my question that s just unacceptable when i m paying to use the app also why is there no way to send a picture or voice message to an idol one more thing i ve tried to send a message to customer service in the app and discovered that if i send it my account will be deleted that s just wrong bad app,Yes,Compatibility with Assistive Technologies (CAT)
,lunarâ™¡,Verification code,Need to fix the problem about the verification code because I havenâ€™t gotten one,2,need to fix the problem about the verification code because i haven t gotten one,Yes,Input and Control Issues (INPUT)
,clairenotclair,Fix Translations,I have 3 NCT artist bubbles and whenever I receive a text and translate it they translation is honestly horrible and half of the time doesnâ€™t make any sense. Lysn should know that many international fans will subscribe to bubble so why are the translations this bad? And you canâ€™t even copy the text to put it into a translator so I have to search on another app to see what they really said. Itâ€™s ridiculous that I have to go find what theyâ€™re really saying when I want to just properly read what they sent. Please fix this!!,3,i have nct artist bubble and whenever i receive a text and translate it they translation is honestly horrible and half of the time doesn t make any sense lysn should know that many international fan will subscribe to bubble so why are the translation this bad and you can t even copy the text to put it into a translator so i have to search on another app to see what they really said it s ridiculous that i have to go find what they re really saying when i want to just properly read what they sent please fix this,Yes,Compatibility with Assistive Technologies (CAT)
,mauricemadagascar,yikes,"its been glitching alot latelyâ€¦its normally pretty good and kind of just like a regular social media wld be but recently its been weird? sending community notifs VERY late and often times it says theres a bubble message from an artists in a notification, but then it just isn't there?",3,it been glitching alot lately it normally pretty good and kind of just like a regular social medium wld be but recently it been weird sending community notifs very late and often time it say there a bubble message from an artist in a notification but then it just isnt there,Yes,UI Accessibility Issues (UI)
,tyongbubu11,Very bad translates,"The translations provided on this app is horrible, doesnâ€™t matter which language. They are mostly inaccurate and can be easily interpreted wrong.",3,the translation provided on this app is horrible doesn t matter which language they are mostly inaccurate and can be easily interpreted wrong,Yes,Compatibility with Assistive Technologies (CAT)
,i love you woojin ðŸ»,Register Account,Iâ€™m wondering if there is another way to make an account wihtout a phone number because I donâ€™t have one...,3,i m wondering if there is another way to make an account wihtout a phone number because i don t have one,Yes,Input and Control Issues (INPUT)
,Katie LoveCats,How do I unsubscribe?,"I tried to delete my account but thereâ€™s a message that goes:
 â€Please make sure to cancel your subscription in the app market.â€
 
 Iâ€™m not sure which app market it is. I looked up the Apple App Store where I originally installed Lysn & thereâ€™s no option to cancel.
 
 Any suggestion?",3,i tried to delete my account but there s a message that go please make sure to cancel your subscription in the app market i m not sure which app market it is i looked up the apple app store where i originally installed lysn there s no option to cancel any suggestion,Yes,Input and Control Issues (INPUT)
,Kaytee7815,Text limit,I wish there wasnâ€™t such a short text limit. I canâ€™t even finish a full sentence. Then when an artist is on sending messages Iâ€™m only able to send 3 messages before it tells me to wait for a message from artist?! But I didnâ€™t get to finish my message because itâ€™s such a short text limit. ðŸ˜‘,4,i wish there wasn t such a short text limit i can t even finish a full sentence then when an artist is on sending message i m only able to send message before it tell me to wait for a message from artist but i didn t get to finish my message because it s such a short text limit,Yes,UI Accessibility Issues (UI)
,shxbi131,Character Limit,"The app is wonderful, but it would be even better if the character limit could be increased. I know a lot of fans have a lot to say to their idols, and the character limit given doesnâ€™t really allow for that. Other than that, I give a A+ !",4,the app is wonderful but it would be even better if the character limit could be increased i know a lot of fan have a lot to say to their idol and the character limit given doesn t really allow for that other than that i give a a,Yes,UI Accessibility Issues (UI)
,Miligm2,Reply Add-On,"when will the reply function be added? i got a ticket for april because they said it was going to be added early in april, now itâ€™s the second half of april and itâ€™s still not here. iâ€™m not rushing or anything of course i just want to know if itâ€™s in the finishing stages or something like that..",4,when will the reply function be added i got a ticket for april because they said it wa going to be added early in april now it s the second half of april and it s still not here i m not rushing or anything of course i just want to know if it s in the finishing stage or something like that,Yes,UI Accessibility Issues (UI)
,a.nh.nguyen,Needs to allow more characters when interacting with the idols,"Weâ€™re paying to talk to our idols but with little characters, itâ€™s hard to talk to them. Adding a few more characters would be beneficial similar to at least a tweet",4,we re paying to talk to our idol but with little character it s hard to talk to them adding a few more character would be beneficial similar to at least a tweet,Yes,UI Accessibility Issues (UI)
,Nae nae ~~,Profile pic and verification,This app is really good except it won't let me have profile pictures and is not sending me a verification email for my account. :(,4,this app is really good except it wont let me have profile picture and is not sending me a verification email for my account,Yes,Input and Control Issues (INPUT)
,~^â€¢*E R ! N*â€¢^~,Cant get in?,When i try to get into the app it only says â€œlog inâ€ and no register to make an account button? How do i get into this app??,4,when i try to get into the app it only say log in and no register to make an account button how do i get into this app,Yes,Navigation and Interaction Problems (NAV)
